Principal MECID,Principal Name,Address 1,Address 2,City,State,Zip,Phone 1,Phone 2,Lobbyist MECID,Lobbyist Name
P180006,22nd Judicial Circuit,Civil Courts Building,10 North Tucker Blvd,St. Louis,MO,63101,(314) 622-4311,,L200223,"Klarich, Joshua 'Joshua' J"
P203716,25 North Central CID,"903 Commerce Dr., Ste. 100",,Oak Brook,IL,60523,(630) 242-1003,,L002448,"Stone, Doug"
P203461,"29 and 79, LLC",453 Shenandoah Drive,,Farmington,MO,63640,(573) 366-0027,,L190116,"Payne, John William"
P182576,"302 North 3rd St, LLC c/o Sky Real Estate, LLC",302 North 3rd St,#900,Kansas City,MO,64113,(913) 526-6222,,L003405,"Maxwell, Korb"
P180007,3M Company,3M Center,Bldg 220-9E-02,St. Paul,MN,55144,(612) 733-3374,,L000294,"Gallagher, Harry"
P180007,3M Company,3M Center,Bldg 220-9E-02,St. Paul,MN,55144,(612) 733-3374,,L000990,"Clarkston, Heath"
P180007,3M Company,3M Center,Bldg 220-9E-02,St. Paul,MN,55144,(612) 733-3374,,L002852,"Nelson, Doug"
P180007,3M Company,3M Center,Bldg 220-9E-02,St. Paul,MN,55144,(612) 733-3374,,L004148,"Schaefer, Kurt"
P180008,46 PC Investors LLC,C/O Block RA Inc.,700 West 47th Street Suite 200,Kansas City,MO,64112,(816) 756-1400,,L003405,"Maxwell, Korb"
P180009,47th and Jefferson Redevelopment Corporation,"7101 College Boulevard, Suite 1100",,Overland Park,KS,66210,(913) 451-9000,,L002495,"Bellar, Ralph E."
P180011,"4Me4We, LLC",1000 Executive Parkway Drive #230,,St. Louis,MO,63141,(314) 307-8792,,L000952,"McIntosh, Richard"
P180011,"4Me4We, LLC",1000 Executive Parkway Drive #230,,St. Louis,MO,63141,(314) 307-8792,,L001270,"Flotron, Francis 'Franc' E."
P180011,"4Me4We, LLC",1000 Executive Parkway Drive #230,,St. Louis,MO,63141,(314) 307-8792,,L002682,"McCracken, David"
P180011,"4Me4We, LLC",1000 Executive Parkway Drive #230,,St. Louis,MO,63141,(314) 307-8792,,L003434,"Stouffer, Bill"
P193262,"4Tellus, LLC","800 Fairway Drive, Ste. 360",,Deerfield Beach,FL,33441,(954) 719-0004,,L002338,"Harris, James"
P203426,7 Point Farms LLC,723 Turnberry Drive,,Jefferson City,MO,65109,(573) 680-7799,,L000946,"Brown, Travis Howard"
P203426,7 Point Farms LLC,723 Turnberry Drive,,Jefferson City,MO,65109,(573) 680-7799,,L001991,"King, Tracy"
P203519,81 Logistics Group,"15601 North Dallas Parkway, 9th Floor",,Addison,TX,75001,(925) 209-0603,,L000952,"McIntosh, Richard"
P203519,81 Logistics Group,"15601 North Dallas Parkway, 9th Floor",,Addison,TX,75001,(925) 209-0603,,L001270,"Flotron, Francis 'Franc' E."
P203519,81 Logistics Group,"15601 North Dallas Parkway, 9th Floor",,Addison,TX,75001,(925) 209-0603,,L002682,"McCracken, David"
P203519,81 Logistics Group,"15601 North Dallas Parkway, 9th Floor",,Addison,TX,75001,(925) 209-0603,,L003434,"Stouffer, Bill"
P203519,81 Logistics Group,"15601 North Dallas Parkway, 9th Floor",,Addison,TX,75001,(925) 209-0603,,L003805,"Gaskin, John CE"
P203427,9 Points LLC,723 Turnberry Drive,,Jefferson City,MO,65109,(573) 680-7799,,L000946,"Brown, Travis Howard"
P203427,9 Points LLC,723 Turnberry Drive,,Jefferson City,MO,65109,(573) 680-7799,,L001991,"King, Tracy"
P180012,A Better Road Forward,7925 Clayton Road,,St. Louis,MO,63117,(314) 726-1961,,L004071,"Dieckhaus, Scott"
P180185,A.T. Still University,800 W. Jefferson Street,,Kirksville,MO,63501,(660) 626-2522,,L000720,"Reichard, Jay"
P180185,A.T. Still University,800 W. Jefferson Street,,Kirksville,MO,63501,(660) 626-2522,,L001265,"Steinmetz, Ginger"
P180185,A.T. Still University,800 W. Jefferson Street,,Kirksville,MO,63501,(660) 626-2522,,L001341,"Blunt, Andrew 'Andy'"
P180185,A.T. Still University,800 W. Jefferson Street,,Kirksville,MO,63501,(660) 626-2522,,L001499,"Moody, Christopher 'Chris'"
P180185,A.T. Still University,800 W. Jefferson Street,,Kirksville,MO,63501,(660) 626-2522,,L002961,"Pabst, Jessica"
P180185,A.T. Still University,800 W. Jefferson Street,,Kirksville,MO,63501,(660) 626-2522,,L003652,"Torpey, Noel"
P180185,A.T. Still University,800 W. Jefferson Street,,Kirksville,MO,63501,(660) 626-2522,,L003862,"Schulte, Angela 'Angie'"
P180015,AAA Auto Club of Missouri,12901 North Forty Dr,,St. Louis,MO,63141,(314) 523-6981,(314) 807-1521,L200335,"Nelson, Angela Lyn"
P180016,AARP-Missouri,9200 Ward Parkway,Suite 350,Kansas City,MO,64114,(866) 389-5627,,L002143,"Coffman, John"
P180016,AARP-Missouri,9200 Ward Parkway,Suite 350,Kansas City,MO,64114,(866) 389-5627,,L002222,"Hardenbrook, Jay"
P180016,AARP-Missouri,9200 Ward Parkway,Suite 350,Kansas City,MO,64114,(866) 389-5627,,L002382,"Hemphill, Deanna Lynn"
P180016,AARP-Missouri,9200 Ward Parkway,Suite 350,Kansas City,MO,64114,(866) 389-5627,,L002550,"Berry, Ron 'Ronald'"
P180016,AARP-Missouri,9200 Ward Parkway,Suite 350,Kansas City,MO,64114,(866) 389-5627,,L003002,"Eichelman, Craig"
P193079,AAUW MO,"1310 L Street, N W, Suite 1000",,Washington,DC,20005,(202) 785-7700,,L190113,"Shores, Alice Patricia"
P180018,ABATE for Missouri,201 Menne Rd,,O'Fallon,MO,63366,(636) 240-5009,,L003871,"Shepherd, Edward 'Tony' Anthony"
P180019,"Acadia Healthcare Company, Inc.","6100 Tower Circle, Suite 1000",,Franklin,TN,37067,(573) 690-3573,,L001867,"Patek, Jewell"
P193296,ACCEL Entertainment Gaming LLC,140 Tower Drive,,Burr Ridge,IL,60527,(630) 972-2235,,L003410,"Berry, Dave"
P193296,ACCEL Entertainment Gaming LLC,140 Tower Drive,,Burr Ridge,IL,60527,(630) 972-2235,,L003946,"Dempsey, Thomas D"
P193071,Accenture LLP,800 Connecticut Avenue,,Washington,DC,20006,(312) 737-8262,,L001341,"Blunt, Andrew 'Andy'"
P193071,Accenture LLP,800 Connecticut Avenue,,Washington,DC,20006,(312) 737-8262,,L003652,"Torpey, Noel"
P203689,"Access Group Capital, LLC",1034 S. Brentwood Blvd.,,Brentwood,MO,63124,(844) 487-2253,,L000946,"Brown, Travis Howard"
P203689,"Access Group Capital, LLC",1034 S. Brentwood Blvd.,,Brentwood,MO,63124,(844) 487-2253,,L001991,"King, Tracy"
P203689,"Access Group Capital, LLC",1034 S. Brentwood Blvd.,,Brentwood,MO,63124,(844) 487-2253,,L002136,"Robbins, Thomas"
P203689,"Access Group Capital, LLC",1034 S. Brentwood Blvd.,,Brentwood,MO,63124,(844) 487-2253,,L003354,"Tilley, Steven"
P180023,ACLU of Missouri,454 Whittier St,,St. Louis,MO,63108,(314) 652-3114,,L003961,"Baker, Sara"
P180023,ACLU of Missouri,454 Whittier St,,St. Louis,MO,63108,(314) 652-3114,,L200243,"Hill, Jay-Marie"
P180023,ACLU of Missouri,454 Whittier St,,St. Louis,MO,63108,(314) 652-3114,,L200244,"Del Villar, Monica 'Mo'"
P203372,ACT Inc.,500 ACT Drive,,Iowa City,IA,52243,(319) 337-1270,,L000598,"Shoehigh, William Eugene"
P203372,ACT Inc.,500 ACT Drive,,Iowa City,IA,52243,(319) 337-1270,,L190080,"Nittler, Stephen"
P203372,ACT Inc.,500 ACT Drive,,Iowa City,IA,52243,(319) 337-1270,,L200307,"LeFebvre, Mary"
P180026,"ACT, Inc.",500 ACT Drive,,Iowa City,IA,52243,(319) 337-1270,,L002996,"Hahn, Jay R."
P180027,Acupuncture Association of Missouri,PO Box 2,,Jefferson City,MO,65102,(573) 635-6044,,L000523,"Penman, D. Scott"
P180027,Acupuncture Association of Missouri,PO Box 2,,Jefferson City,MO,65102,(573) 635-6044,,L003875,"Nail, Kaycee"
P180029,Adam Puchta and Son Wine Company,1947 Frene Creek Road,,Hermann,MO,65041,(573) 486-5442,,L000952,"McIntosh, Richard"
P180029,Adam Puchta and Son Wine Company,1947 Frene Creek Road,,Hermann,MO,65041,(573) 486-5442,,L001270,"Flotron, Francis 'Franc' E."
P180029,Adam Puchta and Son Wine Company,1947 Frene Creek Road,,Hermann,MO,65041,(573) 486-5442,,L002682,"McCracken, David"
P180034,Advantage Business Development,"134 N Lasalle Street, Suite 2010",,Chicago,IL,60602,(573) 690-3573,,L001867,"Patek, Jewell"
P180035,Advantage Capital Partners,7733 Forsyth Blvd Ste 1400,,St. Louis,MO,63105,(314) 725-0800,,L001045,"Swain, W 'Wes' Scott"
P192966,Advantage Homecare,2127 Innerbelt Business Center Drive,Suite 115,St. Louis,MO,63114,(314) 282-2957,,L000128,"Bardgett, John E"
P192966,Advantage Homecare,2127 Innerbelt Business Center Drive,Suite 115,St. Louis,MO,63114,(314) 282-2957,,L001566,"Leonard, Erika"
P192966,Advantage Homecare,2127 Innerbelt Business Center Drive,Suite 115,St. Louis,MO,63114,(314) 282-2957,,L003105,"Roepe, Christopher 'Chris'"
P192966,Advantage Homecare,2127 Innerbelt Business Center Drive,Suite 115,St. Louis,MO,63114,(314) 282-2957,,L003549,"Bardgett, Jacqueline"
P180036,"Advantage Metals Recycling, LLC",300 Pike Street,,Cincinnati,OH,45202,(352) 266-3251,,L001170,"Doctorian, Sherry L."
P180036,"Advantage Metals Recycling, LLC",300 Pike Street,,Cincinnati,OH,45202,(352) 266-3251,,L001678,"Giddens, Nancy Lane"
P180036,"Advantage Metals Recycling, LLC",300 Pike Street,,Cincinnati,OH,45202,(352) 266-3251,,L002837,"Cooper, Shannon"
P193010,Advantes Development,2531 Hampton Avenue,,St. Louis,MO,63139,(314) 260-9266,,L003829,"Sweeney, David W"
P203419,Advocates for a Healthy Community,440 East Tampa Street,,Springfield,MO,65806,(573) 424-1514,,L002458,"Pfeifer, Daniel"
P203419,Advocates for a Healthy Community,440 East Tampa Street,,Springfield,MO,65806,(573) 424-1514,,L002922,"Eaton, Alex Thomas"
P203419,Advocates for a Healthy Community,440 East Tampa Street,,Springfield,MO,65806,(573) 424-1514,,L003160,"Porter, Gregory 'Greg' D"
P203419,Advocates for a Healthy Community,440 East Tampa Street,,Springfield,MO,65806,(573) 424-1514,,L003722,"Lohmann, Rebecca"
P180038,Advocates of Planned Parenthood of The St Louis Region & Southwest Missouri,4251 Forest Park Ave,,St. Louis,MO,63108,(314) 531-7526,,L001895,"Nicklas, Dawn 'Dawn'"
P180038,Advocates of Planned Parenthood of The St Louis Region & Southwest Missouri,4251 Forest Park Ave,,St. Louis,MO,63108,(314) 531-7526,,L003448,"Felts, Sarah Elizabeth"
P180038,Advocates of Planned Parenthood of The St Louis Region & Southwest Missouri,4251 Forest Park Ave,,St. Louis,MO,63108,(314) 531-7526,,L003717,"Mead, M'Evie"
P203541,"ADX, LLC","201 East 5th Street, Suite 1200",,Sheridan,WY,82801,(480) 826-3446,,L000952,"McIntosh, Richard"
P203541,"ADX, LLC","201 East 5th Street, Suite 1200",,Sheridan,WY,82801,(480) 826-3446,,L003805,"Gaskin, John CE"
P203496,"Aegis Healthcare Strategies, LLC",168 Lucerne Place Drive,,Ballwin,MO,63011,(636) 236-7438,(636) 256-9414,L190205,"Logue, Don C"
P180041,Aegon USA Inc.,4333 Edgewood Road NE,,Cedar Rapids,IA,52499,(319) 355-8511,,L000672,"Warren, Ann Monaco"
P213740,"Affinity Gaming, LLC",3440 Breakthrough Way,,Las Vegas,NV,89118,(702) 341-2431,,L000550,"Riffel, Jerry"
P180044,"Affordable Equity Partners, Inc.",PO Box 7088,,Columbia,MO,65205,(573) 443-2021,,L000294,"Gallagher, Harry"
P180044,"Affordable Equity Partners, Inc.",PO Box 7088,,Columbia,MO,65205,(573) 443-2021,,L000990,"Clarkston, Heath"
P180044,"Affordable Equity Partners, Inc.",PO Box 7088,,Columbia,MO,65205,(573) 443-2021,,L002852,"Nelson, Doug"
P180044,"Affordable Equity Partners, Inc.",PO Box 7088,,Columbia,MO,65205,(573) 443-2021,,L004148,"Schaefer, Kurt"
P192996,Affordable Homes Development Inc.,2669 E. Normandy St.,Ste. 100,Springfield,MO,65804,(417) 865-3321,,L002338,"Harris, James"
P180045,Aflac,1032 Wynnton Rd,,Columbus,GA,31999,(706) 323-3431,,L001759,"Dreiling, Fred"
P180046,AFT Missouri,1003 E McCarty St Ste B,,Jefferson City,MO,65109,(573) 635-0073,,L002550,"Berry, Ron 'Ronald'"
P180046,AFT Missouri,1003 E McCarty St Ste B,,Jefferson City,MO,65109,(573) 635-0073,,L004173,"Wickham, Fred"
P180046,AFT Missouri,1003 E McCarty St Ste B,,Jefferson City,MO,65109,(573) 635-0073,,L004174,"Wood, Brian"
P180048,AG Spanos Corporation,10100 Trinity Parkway,5th Floor,Stockton,CA,95219,(209) 478-7954,(209) 955-2514,L002394,"White , Michael 'Mike' T."
P180049,"Aggregate Industries Management, Inc.",8700 W Bryn Mawr Avenue,,Chicago,IL,60631,(773) 372-1000,,L002458,"Pfeifer, Daniel"
P180049,"Aggregate Industries Management, Inc.",8700 W Bryn Mawr Avenue,,Chicago,IL,60631,(773) 372-1000,,L002474,"Clark, Jacqueline"
P180049,"Aggregate Industries Management, Inc.",8700 W Bryn Mawr Avenue,,Chicago,IL,60631,(773) 372-1000,,L002922,"Eaton, Alex Thomas"
P180049,"Aggregate Industries Management, Inc.",8700 W Bryn Mawr Avenue,,Chicago,IL,60631,(773) 372-1000,,L003160,"Porter, Gregory 'Greg' D"
P180049,"Aggregate Industries Management, Inc.",8700 W Bryn Mawr Avenue,,Chicago,IL,60631,(773) 372-1000,,L003722,"Lohmann, Rebecca"
P180049,"Aggregate Industries Management, Inc.",8700 W Bryn Mawr Avenue,,Chicago,IL,60631,(773) 372-1000,,L004183,"Willis, David"
P180049,"Aggregate Industries Management, Inc.",8700 W Bryn Mawr Avenue,,Chicago,IL,60631,(773) 372-1000,,L180015,"Wells, Jasmine"
P180051,"Agricycle, Inc.",39 Old Elam Avenue,,Valley Park,MO,63088,(636) 861-3344,,L001861,"Duwe, Daryl"
P180055,AHIP,601 Pennsylvania Ave NW,Suite 500 South Building,Washington,DC,20004,(202) 778-3230,,L001678,"Giddens, Nancy Lane"
P180055,AHIP,601 Pennsylvania Ave NW,Suite 500 South Building,Washington,DC,20004,(202) 778-3230,,L002837,"Cooper, Shannon"
P203533,AIM Laboratories,3165 McKelvey Rd,,Bridgeton,MO,63044,(314) 743-3748,,L000990,"Clarkston, Heath"
P203533,AIM Laboratories,3165 McKelvey Rd,,Bridgeton,MO,63044,(314) 743-3748,,L002338,"Harris, James"
P203533,AIM Laboratories,3165 McKelvey Rd,,Bridgeton,MO,63044,(314) 743-3748,,L002852,"Nelson, Doug"
P203533,AIM Laboratories,3165 McKelvey Rd,,Bridgeton,MO,63044,(314) 743-3748,,L004148,"Schaefer, Kurt"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L000299,"Gamble, William"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L000300,"Gamble, Cynthia"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L000580,"Schlemeier, Jorgen"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L000644,"Topp, Sarah"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L002845,"Jackson, David"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L003130,"Brooks, Jeffery"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L003747,"Gamble, Kathryn"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L004133,"Schlemeier, Sarah"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L190054,"Wilson, Olivia"
P180056,Air Evac,1001 Boardwalk Springs Place,,O'Fallon,MO,63368,(636) 695-5400,,L190149,"Gamble, John"
P180057,Air Methods,"5500 S Quebec St, Suite 300",,Greenwood Village,CO,80111,(303) 792-7400,,L002458,"Pfeifer, Daniel"
P180057,Air Methods,"5500 S Quebec St, Suite 300",,Greenwood Village,CO,80111,(303) 792-7400,,L002922,"Eaton, Alex Thomas"
P180057,Air Methods,"5500 S Quebec St, Suite 300",,Greenwood Village,CO,80111,(303) 792-7400,,L003160,"Porter, Gregory 'Greg' D"
P180057,Air Methods,"5500 S Quebec St, Suite 300",,Greenwood Village,CO,80111,(303) 792-7400,,L003722,"Lohmann, Rebecca"
P180057,Air Methods,"5500 S Quebec St, Suite 300",,Greenwood Village,CO,80111,(303) 792-7400,,L004183,"Willis, David"
P180057,Air Methods,"5500 S Quebec St, Suite 300",,Greenwood Village,CO,80111,(303) 792-7400,,L180015,"Wells, Jasmine"
P180058,Aircraft Owners and Pilots Association (AOPA),421 Aviation Way,,Frederick,MD,21701,(800) 872-2672,,L004052,"Chandler, Thomas"
P180059,"Airport Taxi Council, LLC / Airport Taxi Consortium",PO Box 45008,,St. Louis,MO,63145-5008,(314) 740-8909,,L002557,"Levison, Mark 'Sox' H"
P180062,Alcalde & Fay,"2111 Wilson Blvd, 8th Floor",,Arlington,VA,22201,(703) 841-0626,,L000186,"Carroll, Steven R"
P213796,Alex Moran,901 E. 39th Street,,Kansas City,MO,64109,(424) 288-1169,,L002396,"Bowers, James C."
P180063,Aligned,22052 W 66th Street,Suite 200,Shawnee,KS,66226,(314) 330-8442,,L001642,"Watson, Trent"
P180063,Aligned,22052 W 66th Street,Suite 200,Shawnee,KS,66226,(314) 330-8442,,L003691,"Rallo, Linda"
P180063,Aligned,22052 W 66th Street,Suite 200,Shawnee,KS,66226,(314) 330-8442,,L180019,"Webb, Garrett M"
P180063,Aligned,22052 W 66th Street,Suite 200,Shawnee,KS,66226,(314) 330-8442,,L200326,"Preis, Stacey"
P203550,Alivia Analytics,361 Newbury Street,,Boston,MA,2115,(573) 356-9698,,L001867,"Patek, Jewell"
P180065,"Alkermes, Inc.",852 Winter Street,,Waltham,MA,02451-1420,(314) 477-7474,,L001867,"Patek, Jewell"
P180065,"Alkermes, Inc.",852 Winter Street,,Waltham,MA,02451-1420,(314) 477-7474,,L003794,"Price, William 'Ray' Ray"
P213723,All Pro Monitoring,4042 Central,,Kansas City,MO,64111,(816) 805-3477,,L000990,"Clarkston, Heath"
P213723,All Pro Monitoring,4042 Central,,Kansas City,MO,64111,(816) 805-3477,,L002852,"Nelson, Doug"
P213723,All Pro Monitoring,4042 Central,,Kansas City,MO,64111,(816) 805-3477,,L004148,"Schaefer, Kurt"
P180068,"Allen Law Offices, LLC",PO Box 1702,,Jefferson City,MO,65102,(573) 636-9667,,L000952,"McIntosh, Richard"
P203551,Alliance for Automotive Innovation,1050 K Street NW,Suite 650,Washington,DC,20001,(573) 690-3573,,L001867,"Patek, Jewell"
P180073,Alliance For Progress LLC,230 W. McCarty Street,,Jefferson City,MO,65101,(573) 636-6827,,L000128,"Bardgett, John E"
P180073,Alliance For Progress LLC,230 W. McCarty Street,,Jefferson City,MO,65101,(573) 636-6827,,L001566,"Leonard, Erika"
P180073,Alliance For Progress LLC,230 W. McCarty Street,,Jefferson City,MO,65101,(573) 636-6827,,L003105,"Roepe, Christopher 'Chris'"
P180073,Alliance For Progress LLC,230 W. McCarty Street,,Jefferson City,MO,65101,(573) 636-6827,,L003549,"Bardgett, Jacqueline"
P180074,Alliance For Responsible Consumer Legal Funding,"712 H Street NE, Suite 1007",,Washington,DC,20002,(571) 969-2720,,L001295,"Workman, Tricia A"
P180074,Alliance For Responsible Consumer Legal Funding,"712 H Street NE, Suite 1007",,Washington,DC,20002,(571) 969-2720,,L002849,"Gibbons, Michael R"
P180074,Alliance For Responsible Consumer Legal Funding,"712 H Street NE, Suite 1007",,Washington,DC,20002,(571) 969-2720,,L003963,"Dugger, Tony"
P182483,Alliance of Automotive Service Providers of Missouri (AASP-Missouri),2920 Elmcrest Drive,,Saint Charles,MO,63301,(636) 949-5990,,L002253,"Reiling, Ronald G"
P180078,Alma Communications Company,206 S County Road,,Alma,MO,64001,(660) 674-2297,,L000851,"Johnson, Craig Steven"
P203692,Alterra Worldwide,211 North Ervay,,Dallas,TX,75201,(213) 440-4141,,L003829,"Sweeney, David W"
P203409,Altever,1520 Clay Street (D1),,North Kansas City,MO,64116,(573) 424-1514,(573) 616-9860,L002458,"Pfeifer, Daniel"
P203409,Altever,1520 Clay Street (D1),,North Kansas City,MO,64116,(573) 424-1514,(573) 616-9860,L002922,"Eaton, Alex Thomas"
P203409,Altever,1520 Clay Street (D1),,North Kansas City,MO,64116,(573) 424-1514,(573) 616-9860,L003160,"Porter, Gregory 'Greg' D"
P203409,Altever,1520 Clay Street (D1),,North Kansas City,MO,64116,(573) 424-1514,(573) 616-9860,L003722,"Lohmann, Rebecca"
P180080,"Altria Client Services LLC and Its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Co.","1005 Congress Avenue, Suite 850",,Austin,TX,78701,(800) 525-5680,,L000128,"Bardgett, John E"
P180080,"Altria Client Services LLC and Its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Co.","1005 Congress Avenue, Suite 850",,Austin,TX,78701,(800) 525-5680,,L000720,"Reichard, Jay"
P180080,"Altria Client Services LLC and Its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Co.","1005 Congress Avenue, Suite 850",,Austin,TX,78701,(800) 525-5680,,L001341,"Blunt, Andrew 'Andy'"
P180080,"Altria Client Services LLC and Its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Co.","1005 Congress Avenue, Suite 850",,Austin,TX,78701,(800) 525-5680,,L002095,"Blunt, Amy"
P180080,"Altria Client Services LLC and Its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Co.","1005 Congress Avenue, Suite 850",,Austin,TX,78701,(800) 525-5680,,L002872,"Donaldson, Robert Eric"
P180080,"Altria Client Services LLC and Its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Co.","1005 Congress Avenue, Suite 850",,Austin,TX,78701,(800) 525-5680,,L003105,"Roepe, Christopher 'Chris'"
P180080,"Altria Client Services LLC and Its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Co.","1005 Congress Avenue, Suite 850",,Austin,TX,78701,(800) 525-5680,,L003549,"Bardgett, Jacqueline"
P180081,Alzheimer's Association Greater Missouri Chapter,9374 Olive Blvd,,St. Louis,MO,63132,(314) 432-3422,,L003810,"Dowell, Jerry"
P192844,"Amalgamated Transit Union, Division 788",1611 South Broadway,,St. Louis,MO,63104,(314) 621-4162,,L003169,"Faul, James Patrick"
P192844,"Amalgamated Transit Union, Division 788",1611 South Broadway,,St. Louis,MO,63104,(314) 621-4162,,L003557,"Evans, Michael Anthonty"
P203698,AMAROK,550 Assembly Street,5th Floor,Columbia,SC,29201,(803) 422-3600,,L001796,"Cozad, John C."
P203698,AMAROK,550 Assembly Street,5th Floor,Columbia,SC,29201,(803) 422-3600,,L001908,"Cook, Ward Wyatt"
P193014,Amazon.com Services LLC,"601 New Jersey Ave. NW, Suite 900",,Washington,DC,20001,(202) 442-2900,,L000946,"Brown, Travis Howard"
P193014,Amazon.com Services LLC,"601 New Jersey Ave. NW, Suite 900",,Washington,DC,20001,(202) 442-2900,,L001991,"King, Tracy"
P193014,Amazon.com Services LLC,"601 New Jersey Ave. NW, Suite 900",,Washington,DC,20001,(202) 442-2900,,L003410,"Berry, Dave"
P193014,Amazon.com Services LLC,"601 New Jersey Ave. NW, Suite 900",,Washington,DC,20001,(202) 442-2900,,L003946,"Dempsey, Thomas D"
P180082,Ambulance District Association of Missouri,4169 Old Mill Parkway,,St. Peters,MO,63376,(636) 441-1354,,L000281,"Ford, Trent"
P193158,"Amendment 2 Consultants, LLC",2008 S 8th Street,,St Louis,MO,63104,(573) 718-3073,,L190116,"Payne, John William"
P180084,Ameren Transmission Company of Illinois,PO Box 66149,,St. Louis,MO,63166-6149,(573) 681-7127,,L001699,"Shannon, Catina"
P180084,Ameren Transmission Company of Illinois,PO Box 66149,,St. Louis,MO,63166-6149,(573) 681-7127,,L001867,"Patek, Jewell"
P180084,Ameren Transmission Company of Illinois,PO Box 66149,,St. Louis,MO,63166-6149,(573) 681-7127,,L002615,"Forck , Matthew"
P180084,Ameren Transmission Company of Illinois,PO Box 66149,,St. Louis,MO,63166-6149,(573) 681-7127,,L003173,"Eastman , Rick"
P180084,Ameren Transmission Company of Illinois,PO Box 66149,,St. Louis,MO,63166-6149,(573) 681-7127,,L190055,"Monroe , Zachary R"
P192894,American Association for Marriage and Family Therapy,"112 South Alfred Street, Ste 300",,Alexandria,VA,22314,(703) 253-0453,,L002135,"Scissors, Irl L."
P193270,American Bail Coalition,PO Box 352,,Franklinville,MO,8322,(877) 958-6628,,L002338,"Harris, James"
P180089,American Bankers Insurance Company of Florida,11222 Quail Roost Drive,,Miami,FL,33157,(305) 233-2244,,L000163,"Brownlee, Richard S."
