MECID_L,Lobbyist First Name,Lobbyist Last Name,Recipient,Principal,Expenditure Type,Expenditure Category,Expenditure Date,Expenditure Amount,Amended,Description,Version From,Version To
L190037,Sarah,Ritter,Entire Missouri House,Operation Food Search,Group,"Meals, Food, & Beverage",1/16/19,36.86,No,"Operation Food Search sent e-vites to all the Missouri legislators to invite them to come to our table in the Rotunda on January 16, 2019.  We brought our nutrition education team to make small samples (each sample was about $1) of snacks they teach children to make in our Nutrition Education program.  We spoke to legislators about the mission of Operation Food Search.",1,
L000580,Jorgen,Schlemeier,Entire General Assembly,Missouri Dental Association,Group,"Meals, Food, & Beverage",1/22/19,"2,487.72",No,Dinner,1,1
L000580,Jorgen,Schlemeier,Entire General Assembly,Missouri Dental Association,Group,"Meals, Food, & Beverage",1/22/19,"2,487.72",Yes - Explanation added to description.,Dinner - This event was attended by numerous non-legislators.  Legislators were offered 2 beverage tickets at a value of $2 each and had the option to purchase a dinner ticket.,2,
L002615,Matthew,Forck,"Brown,  Patrick  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",1/22/19,27.13,No,,1,
L000372,Tracy,Kimberlin,Entire General Assembly,Springfield Convention & Visitors Bureau,Group,"Meals, Food, & Beverage",1/23/19,0.5,No,Salute to Missouri Legislators,1,
L000372,Tracy,Kimberlin,Entire General Assembly,Tracy K. Kimberlin,Group,"Meals, Food, & Beverage",1/23/19,10,Yes - original expenditure amount was miscalculated.,Springfield/Branson Salute to Missouri Legislators,2,
L001498,Arthur,McClure,Entire General Assembly,City Utilities of Springfield,Group,"Meals, Food, & Beverage",1/23/19,0.5,No,Salute to Missouri Legislators,1,1
L001498,Arthur,McClure,Entire General Assembly,City Utilities of Springfield,Group,"Meals, Food, & Beverage",1/23/19,10.5,Yes - Error in original Lobby Report submitted.,Salute to Missouri Legislators,2,
L001944,Beverly,Ehlen,Entire General Assembly,Concerned Women for America of Missouri,Group,"Meals, Food, & Beverage",1/23/19,119,No,Liberty in Law Dinner,1,
L001944,Beverly,Ehlen,"York,  Seth  - Employee/Staff (Lovasco,  Tony )",Concerned Women for America of Missouri,Individual,"Meals, Food, & Beverage",1/23/19,4.99,Yes - I entered 25 members of the Missouri General Assembly on my original report who attended our dinner that evening. Actually it was 22 members-2 senators and 20 state Reps and two staff members.,Liberty in Law Dinner,2,
L001944,Beverly,Ehlen,"Haynes,  Chandler  - Employee/Staff (Burlison,  Eric )",Concerned Women for America of Missouri,Individual,"Meals, Food, & Beverage",1/23/19,4.99,Yes - I entered 25 members of the Missouri General Assembly on my original report who attended our dinner that evening. Actually it was 22 members-2 senators and 20 state Reps and two staff members.,Liberty in Law Dinner,2,2
L001944,Beverly,Ehlen,"Haynes,  Chandler  - Employee/Staff (Burlison,  Eric )",Concerned Women for America of Missouri,Individual,"Meals, Food, & Beverage",1/23/19,0,"Yes - CWA of Missouri received a check for $4.99 this month (October, 2019) to cover the cost of the meal.",Liberty in Law Dinner,3,
L002043,Sandy,Howard,Entire General Assembly,Springfield Area Chamber of Commerce,Group,"Meals, Food, & Beverage",1/23/19,0.5,No,SMP Salute to Legislators,1,1
L002043,Sandy,Howard,Entire General Assembly,Missouri State University,Group,"Meals, Food, & Beverage",1/23/19,0.5,No,Salute to Missouri Legislators,1,2
L002043,Sandy,Howard,Entire General Assembly,Springfield Area Chamber of Commerce,Group,"Meals, Food, & Beverage",1/23/19,10.5,Yes - Initial error in determining total expenditure.,SMP Salute to Legislators,2,
L002043,Sandy,Howard,Entire General Assembly,Missouri State University,Group,"Meals, Food, & Beverage",1/23/19,0,Yes - re-entered correct total for event.,Salute to Missouri Legislators,3,
L003606,Ryan,DeBoef,Entire General Assembly,Missouri State University,Group,"Meals, Food, & Beverage",1/23/19,10.5,Yes - Needed to report correct amount for the expenditure-just received confirmation,Salute to Missouri Legislators,2,
L003627,Samantha,Davis,Entire General Assembly,Missouri Corn Growers Association,Group,"Meals, Food, & Beverage",1/23/19,165,No,"MO Corn Growers Member Reception, $5 drink tickets with 33 participating legislators. Entire GA invited.",1,
L003694,John,Jungmann,Entire General Assembly,Springfield R-12 Public Schools,Group,"Meals, Food, & Beverage",1/23/19,0.5,No,2019 Springfield Metro Partnership Salute to Missouri Legislators,1,
L003694,John,Jungmann,Entire General Assembly,Springfield R-12 Public Schools,Group,"Meals, Food, & Beverage",1/23/19,10,Yes - Error in reporting expenditure.,Springfield/Branson Salute to Missouri Legislators,2,
L004043,Matthew,Panik,"DeGroot,  Bruce  - Representative",Missouri Chamber of Commerce and Industry,Individual,"Meals, Food, & Beverage",1/23/19,4.5,No,,1,
L004311,William,Marrs,Entire General Assembly,City of Springfield,Group,"Meals, Food, & Beverage",1/23/19,0.5,"Yes - Need to report expenditure, just received receipt for the amount",Salute to Missouri Legislators,2,2
L004311,William,Marrs,Entire General Assembly,Greene County Commission,Group,"Meals, Food, & Beverage",1/23/19,0.5,"Yes - Need to report expenditure, just received receipt for the amount",Salute to Missouri Legislators,2,2
L004311,William,Marrs,Entire General Assembly,City of Springfield,Group,"Meals, Food, & Beverage",1/23/19,10.5,Yes - Wrong amount per sponsor was submitted on the original report,Salute to Missouri Legislators,3,
L004311,William,Marrs,Entire General Assembly,Greene County Commission,Group,"Meals, Food, & Beverage",1/23/19,10.5,Yes - Wrong amount per sponsor was submitted on the original report,Salute to Missouri Legislators,3,
L001839,Sharon,Jones,"Unsicker,  Sarah  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,1
L001839,Sharon,Jones,"Price,  Wiley  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Bosley,  LaKeySha  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Washington,  Barbara  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Rogers,  Wes  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,1
L001839,Sharon,Jones,"Ellington,  Brandon  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Roberts,  Steven  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Mosley,  Jay  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Ingle,  Keri  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Roden,  Shane  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,2
L001839,Sharon,Jones,"Schroer,  Nick  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Bland Manlove,  Ashley  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,5,No,MATA Board of Governors Reception,1,
L001839,Sharon,Jones,"Roden,  Shane  - Representative",Missouri Association of Trial Attorneys,Individual,Other,1/28/19,0,Yes - Did not have a drink at the reception.,MATA Board of Governors Reception,3,
L003778,Casey,Wasser,Entire General Assembly,Missouri Soybean Association,Group,"Meals, Food, & Beverage",1/28/19,"2,958.67",No,Reception,1,1
L003778,Casey,Wasser,Entire General Assembly,Missouri Soybean Association,Group,"Meals, Food, & Beverage",1/28/19,80,Yes - Needed to specify group expenditure.,Legislative Reception,2,
L004276,Brent,Baker,"Shaw,  Gary  - City of Joplin",Empire District - Liberty Utilities Central,Individual,"Meals, Food, & Beverage",1/28/19,39.3,No,Meal,1,
L000644,Sarah,Topp,Entire General Assembly,Missouri Association for Career and Technical Education,Group,"Meals, Food, & Beverage",1/29/19,138,No,Coffee & Donuts,1,
L003759,Laura,Selby,"Clancy,  Lisa  - St. Louis County Elect","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",1/29/19,7.22,No,"Meet and greet business breakfast with St Louis County Councilwoman, Lisa Clancy",1,
L003862,Angela,Schulte,Entire General Assembly,Missouri Cable Telecommunications Association,Group,"Meals, Food, & Beverage",1/29/19,291.07,No,MCTA Cable Day Event,1,
L000644,Sarah,Topp,Entire General Assembly,Missouri Circuit Clerks Association,Group,"Meals, Food, & Beverage",1/30/19,210,No,Coffee & Donuts,1,
L000698,David,Winton,"Murphy,  Jim  - Representative",Missouri Foundation For Health,Individual,"Meals, Food, & Beverage",2/1/19,2.84,No,Coffee at Missouri Foundation for Health Meeting,1,1
L000698,David,Winton,"Murphy,  Jim  - Representative",Missouri Foundation For Health,Individual,"Meals, Food, & Beverage",2/1/19,0,Yes - Paid by Legislator.,Coffee at Missouri Foundation for Health Meeting,2,
L001699,Catina,Shannon,"Butler,  Michael  - City of St. Louis","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,2/3/19,140,No,2 tickets to Disney on Ice,1,
L001699,Catina,Shannon,"Butler ,  Erin  - Spouse/Child (Butler,  Michael )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,2/3/19,70,No,Disney on Ice,1,
L001699,Catina,Shannon,"Butler ,  Kimba  - Spouse/Child (Butler,  Michael )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,2/3/19,70,No,Disney on Ice,1,
L000580,Jorgen,Schlemeier,Entire General Assembly,Missouri Society For Respiratory Care,Group,"Meals, Food, & Beverage",2/6/19,168,No,Coffee & Donuts,1,
L002974,Brian,Millner,Entire General Assembly,Brian Millner,Group,"Meals, Food, & Beverage",2/6/19,210,No,Breakfast with Missouri's Community Colleges - served coffee and doughntus,1,
L003676,Jeremy,Cady,Entire General Assembly,Americans For Prosperity,Group,"Meals, Food, & Beverage",2/6/19,208.81,No,Donuts and coffee,1,
L190037,Sarah,Ritter,Entire Missouri Senate,Operation Food Search,Group,"Meals, Food, & Beverage",2/6/19,38.19,No,Tabling in the Rotunda with small samples from our nutrition education team with recipe cards for all Senators and Representatives,1,
L190037,Sarah,Ritter,Entire Missouri House,Operation Food Search,Group,"Meals, Food, & Beverage",2/6/19,38.19,No,Tabling in the Rotunda with small samples from our nutrition education team with recipe cards for all Senators and Representatives,1,
L001739,David,Klarich,"Bromley,  Bob  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required Reporting,Cookies,2,9
L001739,David,Klarich,"Walsh,  Gina  - Senator",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required Reporting,Cookies,2,
L001739,David,Klarich,"Allred,  Vic  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Anderson,  Sonya  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Appelbaum,  LaDonna  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Bailey,  Dorothy  'Dottie'  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Bernskoetter,  Mike  - Senator",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Billington,  Hardy  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,2
L001739,David,Klarich,"Black,  John  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,14
L001739,David,Klarich,"Bland Manlove,  Ashley  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Bosley,  LaKeySha  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Brown,  Paula  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,12
L001739,David,Klarich,"Busick,  Danny  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Butz,  Steve  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,22
L001739,David,Klarich,"Carter,  Chris  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,24
L001739,David,Klarich,"Chappelle-Nadal,  Maria  N.  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Clemens,  Doug  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,20
L001739,David,Klarich,"Coleman,  Mary  Elizabeth  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,5
L001739,David,Klarich,"Coleman,  Jeff  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Curls,  Shalonn  'Kiki'  - Senator",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Deaton,  Dirk  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,2
L001739,David,Klarich,"DeGroot,  Bruce  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Dinkins,  Chris  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,15
L001739,David,Klarich,"Eslinger,  Karla  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Wright,  Dale  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,11
L001739,David,Klarich,"Evans,  David  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,8
L001739,David,Klarich,"Falkner,  William  'Bill'  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Fishel,  Craig  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Gannon,  Elaine  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Griesheimer,  Aaron  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Griffith,  Dave  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Haahr,  Elijah  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Haden,  Kent  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Haffner,  Mike  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Hovis,  Barry  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Hudson,  Brad  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Kehoe,  Mike  - Office of the Lieutenant Governor",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,22
L001739,David,Klarich,"Kelley,  Ann  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,2
L001739,David,Klarich,"Wood,  David  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,2
L001739,David,Klarich,"Knight,  Jeff  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Lovasco,  Tony  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Mackey,  Ian  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Mayhew,  Don  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"McGirl,  Mike  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,4
L001739,David,Klarich,"Morse,  Herman  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Mosley,  Jay  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Murphy,  Jim  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"O'Donnell,  Michael  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Patterson,  Jonathan  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Pollitt,  Brad  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,21
L001739,David,Klarich,"Pollock,  Suzie  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Porter,  Jeff  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Price,  Wiley  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Proudie,  Raychel  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,3
L001739,David,Klarich,"Quade,  Crystal  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,18
L001739,David,Klarich,"Reedy,  Rodger  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Richey,  Doug  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Riggs,  Louis  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,14
L001739,David,Klarich,"Roberts,  Lane  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,7
L001739,David,Klarich,"Rogers,  Wes  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,23
L001739,David,Klarich,"Rowden,  Caleb  - Senator",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,25
L001739,David,Klarich,"Ruth,  Becky  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Sain,  Matt  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,16
L001739,David,Klarich,"Sauls,  Robert  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,19
L001739,David,Klarich,"Schatz,  David  - Senator",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Schnelting,  Adam  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Sharpe,  Greg  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Windham,  Kevin  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Washington,  Barbara  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Walsh,  Sara  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,2
L001739,David,Klarich,"Shawan,  Jeff  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,11
L001739,David,Klarich,"Veit,  Rudy  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Unsicker,  Sarah  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,10
L001739,David,Klarich,"Shields,  Brenda  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,20
L001739,David,Klarich,"Stevens,  Martha  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,2
L001739,David,Klarich,"Simmons,  John  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Sommer,  Chrissy  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,6
